[trackB-stable-v5] start 2026-08-26T14:08:08+02:00
[trackB-stable-v5] cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr resume=models/student_global_stable_v4.ckpt cfg=configs/student_global_v5.yaml -> models/student_global_stable_v5.ckpt
torch 2.5.1 cuda True dev NVIDIA H200
[Track B] config=configs/student_global_v5.yaml teacher_ckpt=models/teacher_pruned.ckpt (exists=True)
[Track B] target stats from cache c0:mean=0.000589/std=0.002058 c1:mean=1.009e+05/std=1394 c2:mean=278.9/std=21.1
[Track B] input stats from cache c0:mean=211.6/std=10.28 c1:mean=207.9/std=12.08 c2:mean=213/std=8.718 c3:mean=217.9/std=7.402 c4:mean=222.9/std=8.931 ...
[Track B] resumed model+heads from models/student_global_stable_v4.ckpt
[Track B] tp_logit_boost=0.0002 applied to head bias[0]
[Track B] channel_weights (tp,msl,2t)=[6.0, 0.25, 2.5]
[Track B] africa_mix=0.5 mask_frac=0.0945 tp_mode=softplus_soft precip_log1p_weight=6.0 wet_boost=12.0 underpred=4.0 pod=2.0 dry_collapse=1.0 normalize_inputs=True
[Track B] schedule feat@999 (β→0.0, ramp=1) spec@999 (γ→0.0, ramp=1) grad_clip=1.0 norm=True phys=True resume=models/student_global_stable_v4.ckpt
epoch 21 loss=8.064741 L_A=0.246702 L_B=0.000000 L_C=0.000000 L_tp=1.303007 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 22 loss=8.074283 L_A=0.247015 L_B=0.000000 L_C=0.000000 L_tp=1.304545 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 23 loss=8.089778 L_A=0.247910 L_B=0.000000 L_C=0.000000 L_tp=1.306978 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 24 loss=8.053049 L_A=0.246255 L_B=0.000000 L_C=0.000000 L_tp=1.301132 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 25 loss=8.100367 L_A=0.247623 L_B=0.000000 L_C=0.000000 L_tp=1.308791 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 26 loss=8.097527 L_A=0.247998 L_B=0.000000 L_C=0.000000 L_tp=1.308255 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 27 loss=8.074689 L_A=0.246482 L_B=0.000000 L_C=0.000000 L_tp=1.304701 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 28 loss=8.066751 L_A=0.246975 L_B=0.000000 L_C=0.000000 L_tp=1.303296 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 29 loss=8.105354 L_A=0.247881 L_B=0.000000 L_C=0.000000 L_tp=1.309579 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
epoch 30 loss=8.098398 L_A=0.247826 L_B=0.000000 L_C=0.000000 L_tp=1.308429 beta_w=0.0000 gamma_w=0.0000 cache=data/processed/lapai/teacher_k1_cache_full2020_2021.zarr teacher=models/teacher_pruned.ckpt
